ParameterNavn;ParameterName;Unit;SortKey;ParameterID;ParameterGroupID;ParameterGruppeNavn;ParameterGroupName;EurofirComponentID;EurofirUnitID;EurofirMatrixUnitID;EFSA_PARAM_Code;EFSA_PARAM_name;PubChem_CID;KEGG;ChEBI;ChEMBL;HMDB;CAS_Nr;SMILES;Formula;MolWeight;Density;cLogP
Histamin;Histamine;mg/100g;13010;158;13;Biogene aminer;Biogenic amines;HISTN;mg;W;RF-00000003-BGA;Histamine;774;D08040;CHEBI:18295;CHEMBL90;HMDB0000870;51-45-6;NCCc1c[nH]cn1;C5H9N3;111,148;NULL;-0,7
Serotonin;Serotonin;mg/100g;13020;232;13;Biogene aminer;Biogenic amines;SEROTN;mg;W;RF-00000478-ORG;Serotonin;4041;C00780;CHEBI:28790;CHEMBL39;HMDB0000259;50-67-9;c1cc2c(cc1O)c(c[nH]2)CCN;C10H12N2O;176,215;NULL;0,2
Cholin;Choline;mg/100g;13022;116;13;Biogene aminer;Biogenic amines;CHOLN;mg;W;RF-00000053-NTR;choline;305;C00114;CHEBI:15354;CHEMBL920;HMDB0000097;62-49-7;C[N+](C)(C)CCO;C5H14NO+;104,17;NULL;NULL
Tyramin;Tyramine;mg/100g;13110;263;13;Biogene aminer;Biogenic amines;TYRA;mg;W;RF-00000007-BGA;Tyramine;5610;C00483;CHEBI:15760;CHEMBL11608;HMDB0000306;51-67-2;Oc1ccc(cc1)CCN;C8H11NO;137,179;NULL;0,9
Phenylethylamin;Phenylethylamine;mg/100g;13120;212;13;Biogene aminer;Biogenic amines;PHETN;mg;W;RF-00000008-BGA;Phenylethylamine;1001;C05332;CHEBI:18397;CHEMBL610;HMDB0012275;64-04-0;c1ccc(cc1)CCN;C8H11N;121,18;0,964;1,4
Putrescin;Putrescine;mg/100g;13130;221;13;Biogene aminer;Biogenic amines;PUTRSC;mg;W;RF-00000004-BGA;Putrescine;1045;C00134;CHEBI:17148;CHEMBL46257;HMDB0001414;110-60-1;NCCCCN;C4H12N2;88,154;0,877;-0,7
Cadaverin;Cadaverine;mg/100g;13140;106;13;Biogene aminer;Biogenic amines;CADAVT;mg;W;RF-00000002-BGA;Cadaverine;273;C01672;CHEBI:18127;CHEMBL119296;HMDB0002322;462-94-2;NCCCCCN;C5H14N2;102,181;0,873;-0,1
Spermin;Spermine;mg/100g;13150;239;13;Biogene aminer;Biogenic amines;SPERN;mg;W;RF-00000006-BGA;Spermine;1103;C00750;CHEBI:15746;CHEMBL23194;HMDB0001256;71-44-3;NCCCNCCCCNCCCN;C10H26N4;202,346;0,937;-0,7
Spermidin;Spermidine;mg/100g;13160;238;13;Biogene aminer;Biogenic amines;SPERDN;mg;W;RF-00000005-BGA;Spermidine;1102;C00315;CHEBI:16610;CHEMBL19612;HMDB0001257;124-20-9;NCCCCNCCCN;C7H19N3;145,25;0,925;-0,7
Sum biogene aminer;Sum biogenic amines;mg/100g;13210;422;13;Biogene aminer;Biogenic amines;GRP_AM;mg;W;RF-00000001-BGA;Biogenic amines;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Svind;Waste;%;20010;252;2;Faktorer m.m.;Factors etc.;WASTE;PCT;X;RF-00000432-NTR;waste;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Nitrogen-til-protein faktor;Nitrogen conversion factor;No Unit;20110;219;2;Faktorer m.m.;Factors etc.;NCF;R;X;RF-00000350-NTR;nitrogen conversion factor;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Fedtsyrekonverteringsfaktor;Fatty acid conversion factor;No Unit;20120;140;2;Faktorer m.m.;Factors etc.;FACF;R;X;RF-00000250-NTR;fatty acid conversion factor;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Massefylde;Density;g/ml;20210;363;2;Faktorer m.m.;Factors etc.;DEN;g;VM;RF-00000070-NTR;density/specific gravity;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
pH;pH;No Unit;20220;432;2;Faktorer m.m.;Factors etc.;PH;NULL;X;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
